,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income,ageCode,workclassCode,educationCode,marital-statusCode,occupationCode,relationshipCode,raceCode,sexCode,native-countryCode,incomeCode
12,adult,Private,245487,7th-8th,4,Married-civ-spouse,Transport-moving,Husband,Amer-Indian-Eskimo,Male,0,0,45,Mexico,<=50K,0,4,5,2,14,0,0,1,26,0
13,young,Self-emp-not-inc,176756,HS-grad,9,Never-married,Farming-fishing,Own-child,White,Male,0,0,35,United-States,<=50K,4,6,11,4,5,3,4,1,39,0
14,adult,Private,186824,HS-grad,9,Never-married,Machine-op-inspct,Unmarried,White,Male,0,0,40,United-States,<=50K,0,4,11,4,7,4,4,1,39,0
15,adult,Private,28887,11th,7,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,<=50K,0,4,1,2,12,0,4,1,39,0
16,middle-aged,Self-emp-not-inc,292175,Masters,14,Divorced,Exec-managerial,Unmarried,White,Female,0,0,45,United-States,>50K,1,6,12,0,4,4,4,0,39,1
17,middle-aged,Private,193524,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,60,United-States,>50K,1,4,10,2,10,0,4,1,39,1
18,old,Private,302146,HS-grad,9,Separated,Other-service,Unmarried,Black,Female,0,0,20,United-States,<=50K,2,4,11,5,8,4,2,0,39,0
19,adult,Federal-gov,76845,9th,5,Married-civ-spouse,Farming-fishing,Husband,Black,Male,0,0,40,United-States,<=50K,0,1,6,2,5,0,2,1,39,0
20,middle-aged,Private,117037,11th,7,Married-civ-spouse,Transport-moving,Husband,White,Male,0,2042,40,United-States,<=50K,1,4,1,2,14,0,4,1,39,0
21,old,Private,109015,HS-grad,9,Divorced,Tech-support,Unmarried,White,Female,0,0,40,United-States,<=50K,2,4,11,0,13,4,4,0,39,0
22,teenager,Private,168294,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States,<=50K,3,4,11,4,3,3,4,1,39,0
23,old,?,180211,Some-college,10,Married-civ-spouse,?,Husband,Asian-Pac-Islander,Male,0,0,60,South,>50K,2,0,15,2,0,0,1,1,35,1
24,adult,Private,367260,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,80,United-States,<=50K,0,4,11,0,4,1,4,1,39,0
25,middle-aged,Private,193366,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K,1,4,11,2,3,0,4,1,39,0
26,young,Local-gov,190709,Assoc-acdm,12,Never-married,Protective-serv,Not-in-family,White,Male,0,0,52,United-States,<=50K,4,2,7,4,11,1,4,1,39,0
27,middle-aged,Private,386940,Bachelors,13,Divorced,Exec-managerial,Own-child,White,Male,0,1408,40,United-States,<=50K,1,4,9,0,4,3,4,1,39,0
28,young,State-gov,311512,Some-college,10,Married-civ-spouse,Other-service,Husband,Black,Male,0,0,15,United-States,<=50K,4,7,15,2,8,0,2,1,39,0
29,middle-aged,Private,242406,11th,7,Never-married,Machine-op-inspct,Unmarried,White,Male,0,0,40,Puerto-Rico,<=50K,1,4,1,4,7,4,4,1,33,0
30,young,Private,197200,Some-college,10,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,40,United-States,<=50K,4,4,15,4,7,3,4,1,39,0
31,teenager,Private,544091,HS-grad,9,Married-AF-spouse,Adm-clerical,Wife,White,Female,0,0,25,United-States,<=50K,3,4,11,1,1,5,4,0,39,0
32,adult,Private,84154,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,38,?,>50K,0,4,15,2,12,0,4,1,0,1
33,middle-aged,Self-emp-not-inc,265477,Assoc-acdm,12,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,<=50K,1,6,7,2,10,0,4,1,39,0
34,old,Self-emp-not-inc,88506,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,<=50K,2,6,9,2,10,0,4,1,39,0
35,young,Private,172987,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,50,United-States,<=50K,4,4,9,2,13,0,4,1,39,0
36,middle-aged,Private,94638,HS-grad,9,Separated,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,<=50K,1,4,11,5,1,4,4,0,39,0
37,young,Private,289980,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,35,United-States,<=50K,4,4,11,4,6,1,4,1,39,0
38,old,Federal-gov,337895,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Black,Male,0,0,40,United-States,>50K,2,1,9,2,10,0,2,1,39,1
39,old,Private,144361,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,38,United-States,<=50K,2,4,11,2,7,0,4,1,39,0
40,middle-aged,Private,128354,Masters,14,Divorced,Exec-managerial,Unmarried,White,Female,0,0,40,United-States,<=50K,1,4,12,0,4,4,4,0,39,0
41,young,Private,32275,Some-college,10,Married-civ-spouse,Exec-managerial,Wife,Other,Female,0,0,40,United-States,<=50K,4,4,15,2,4,5,3,0,39,0
42,teenager,Private,226956,HS-grad,9,Never-married,Other-service,Own-child,White,Female,0,0,30,?,<=50K,3,4,11,4,8,3,4,0,0,0
43,middle-aged,Private,51835,Prof-school,15,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,1902,60,Honduras,>50K,1,4,14,2,10,5,4,0,16,1
44,old,Federal-gov,251585,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,55,United-States,>50K,2,1,9,0,4,1,4,1,39,1
45,middle-aged,Self-emp-inc,109832,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,60,United-States,<=50K,1,5,11,0,4,1,4,1,39,0
46,middle-aged,Private,216666,5th-6th,3,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,Mexico,<=50K,1,4,4,2,7,0,4,1,26,0
47,adult,Private,56352,Assoc-voc,11,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,Puerto-Rico,<=50K,0,4,8,2,8,0,4,1,33,0
48,adult,Private,188146,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,5013,0,40,United-States,<=50K,0,4,11,2,7,0,4,1,39,0
49,adult,Private,59496,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,2407,0,40,United-States,<=50K,0,4,9,2,12,0,4,1,39,0
50,middle-aged,Private,149640,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,<=50K,1,4,11,2,14,0,4,1,39,0
51,middle-aged,Private,116632,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,45,United-States,>50K,1,4,10,2,10,0,4,1,39,1
52,young,Private,105598,Some-college,10,Divorced,Tech-support,Not-in-family,White,Male,0,0,58,United-States,<=50K,4,4,15,0,13,1,4,1,39,0
53,adult,Private,155537,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K,0,4,11,2,3,0,4,1,39,0
54,young,Private,183175,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K,4,4,15,0,1,1,4,0,39,0
55,old,Private,169846,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States,>50K,2,4,11,2,1,5,4,0,39,1
56,adult,Private,309974,Bachelors,13,Separated,Sales,Own-child,Black,Female,0,0,40,United-States,<=50K,0,4,9,5,12,3,2,0,39,0
57,young,Private,213921,HS-grad,9,Never-married,Other-service,Own-child,White,Male,0,0,40,Mexico,<=50K,4,4,11,4,8,3,4,1,26,0
58,middle-aged,Private,32214,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,<=50K,1,4,7,2,1,0,4,1,39,0
59,old,?,212759,10th,6,Married-civ-spouse,?,Husband,White,Male,0,0,2,United-States,<=50K,2,0,0,2,0,0,4,1,39,0
60,teenager,Private,309634,11th,7,Never-married,Other-service,Own-child,White,Female,0,0,22,United-States,<=50K,3,4,1,4,8,3,4,0,39,0
61,adult,Local-gov,125927,7th-8th,4,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,United-States,<=50K,0,2,5,2,5,0,4,1,39,0
62,old,Private,276515,Bachelors,13,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,Cuba,<=50K,2,4,9,2,8,0,4,1,5,0
63,middle-aged,Private,51618,HS-grad,9,Married-civ-spouse,Other-service,Wife,White,Female,0,0,40,United-States,<=50K,1,4,11,2,8,5,4,0,39,0
64,old,Private,159937,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,48,United-States,<=50K,2,4,11,2,12,0,4,1,39,0
65,old,Private,346253,HS-grad,9,Divorced,Sales,Own-child,White,Female,0,0,35,United-States,<=50K,2,4,11,0,12,3,4,0,39,0
66,middle-aged,Local-gov,268234,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,>50K,1,2,11,2,11,0,4,1,39,1
67,adult,Private,202051,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,<=50K,0,4,12,2,10,0,4,1,39,0
68,adult,Private,54334,9th,5,Never-married,Sales,Not-in-family,White,Male,0,0,40,United-States,<=50K,0,4,6,4,12,1,4,1,39,0
69,old,Private,249977,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,<=50K,2,4,8,2,10,0,4,1,39,0
70,adult,Private,286730,Some-college,10,Divorced,Craft-repair,Unmarried,White,Female,0,0,40,United-States,<=50K,0,4,15,0,3,4,4,0,39,0
71,young,Private,212563,Some-college,10,Divorced,Machine-op-inspct,Unmarried,Black,Female,0,0,25,United-States,<=50K,4,4,15,0,7,4,2,0,39,0
72,adult,Private,117747,HS-grad,9,Married-civ-spouse,Sales,Wife,Asian-Pac-Islander,Female,0,1573,35,?,<=50K,0,4,11,2,12,5,1,0,0,0
73,adult,Local-gov,226296,Bachelors,13,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,>50K,0,2,9,2,11,0,4,1,39,1
74,young,Local-gov,115585,Some-college,10,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,50,United-States,<=50K,4,2,15,4,6,1,4,1,39,0
75,middle-aged,Self-emp-not-inc,191277,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1902,60,United-States,>50K,1,6,10,2,10,0,4,1,39,1
76,adult,Private,202683,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,48,United-States,>50K,0,4,15,2,12,0,4,1,39,1
77,middle-aged,Private,171095,Assoc-acdm,12,Divorced,Exec-managerial,Unmarried,White,Female,0,0,40,England,<=50K,1,4,7,0,4,4,4,0,9,0
78,old,Private,124191,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K,2,4,12,2,4,0,4,1,39,1
79,middle-aged,Private,198282,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,60,United-States,>50K,1,4,9,2,4,0,4,1,39,1
80,middle-aged,Self-emp-not-inc,149116,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,50,United-States,<=50K,1,6,12,4,10,1,4,0,39,0
81,young,Private,188300,Some-college,10,Never-married,Tech-support,Own-child,White,Female,0,0,40,United-States,<=50K,4,4,15,4,13,3,4,0,39,0
82,adult,Self-emp-inc,317660,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,7688,0,40,United-States,>50K,0,5,11,2,3,0,4,1,39,1
83,teenager,?,304873,10th,6,Never-married,?,Own-child,White,Female,34095,0,32,United-States,<=50K,3,0,0,4,0,3,4,0,39,0
84,adult,Private,194901,11th,7,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,40,United-States,<=50K,0,4,1,4,6,3,4,1,39,0
85,adult,Local-gov,189265,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K,0,2,11,4,1,1,4,0,39,0
86,middle-aged,Private,124692,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,<=50K,1,4,11,2,6,0,4,1,39,0
87,adult,Private,65324,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K,0,4,14,2,10,0,4,1,39,1
88,old,Self-emp-not-inc,335605,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,1887,50,Canada,>50K,2,6,11,2,8,0,4,1,2,1
89,young,Private,377869,Some-college,10,Married-civ-spouse,Sales,Wife,White,Female,4064,0,25,United-States,<=50K,4,4,15,2,12,5,4,0,39,0
90,adult,Private,102864,HS-grad,9,Never-married,Machine-op-inspct,Own-child,White,Female,0,0,40,United-States,<=50K,0,4,11,4,7,3,4,0,39,0
91,old,Private,95647,9th,5,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,50,United-States,<=50K,2,4,6,2,6,0,4,1,39,0
92,old,Self-emp-inc,303090,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,<=50K,2,5,15,2,12,0,4,1,39,0
93,middle-aged,Local-gov,197371,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,40,United-States,>50K,1,2,8,2,3,0,2,1,39,1
94,old,Private,247552,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,56,United-States,<=50K,2,4,15,2,12,0,4,1,39,0
95,young,Private,102632,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,41,United-States,<=50K,4,4,11,4,3,1,4,1,39,0
96,young,Private,199915,Some-college,10,Never-married,Other-service,Own-child,White,Female,0,0,40,United-States,<=50K,4,4,15,4,8,3,4,0,39,0
97,adult,Private,77143,Bachelors,13,Never-married,Exec-managerial,Own-child,Black,Male,0,0,40,Germany,<=50K,0,4,9,4,4,3,2,1,11,0
98,young,State-gov,267989,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,>50K,4,7,9,2,10,0,4,1,39,1
99,young,Private,111697,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,1719,28,United-States,<=50K,4,4,15,4,1,3,4,0,39,0
100,adult,Private,114937,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,>50K,0,4,7,2,1,0,4,1,39,1
101,adult,?,129305,HS-grad,9,Married-civ-spouse,?,Husband,White,Male,0,0,40,United-States,<=50K,0,0,11,2,0,0,4,1,39,0
102,adult,Private,365739,Some-college,10,Divorced,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K,0,4,15,0,3,1,4,1,39,0
103,adult,Self-emp-not-inc,120985,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,4386,0,35,United-States,<=50K,0,6,11,2,3,0,4,1,39,0
104,adult,Private,254202,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,<=50K,0,4,9,2,12,0,4,1,39,0
105,middle-aged,Private,146195,Assoc-acdm,12,Divorced,Tech-support,Not-in-family,Black,Female,0,0,36,United-States,<=50K,1,4,7,0,13,1,2,0,39,0
106,middle-aged,Self-emp-not-inc,56920,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,60,United-States,<=50K,1,6,11,2,3,0,4,1,39,0
107,young,Private,163127,Assoc-voc,11,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,35,United-States,<=50K,4,4,8,2,1,5,4,0,39,0
108,middle-aged,Private,81973,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,0,0,40,United-States,>50K,1,4,15,2,3,0,1,1,39,1
109,old,Self-emp-inc,66614,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K,2,5,11,2,3,0,4,1,39,0
110,young,Private,232782,Some-college,10,Never-married,Sales,Own-child,White,Female,0,0,40,United-States,<=50K,4,4,15,4,12,3,4,0,39,0
111,teenager,Private,316868,Some-college,10,Never-married,Other-service,Own-child,White,Male,0,0,30,Mexico,<=50K,3,4,15,4,8,3,4,1,26,0
112,middle-aged,Private,196584,Assoc-voc,11,Never-married,Prof-specialty,Not-in-family,White,Female,0,1564,40,United-States,>50K,1,4,8,4,10,1,4,0,39,1
113,old,Private,105376,Some-college,10,Never-married,Tech-support,Other-relative,White,Male,0,0,40,United-States,<=50K,2,4,15,4,13,2,4,1,39,0
114,adult,Private,185814,HS-grad,9,Never-married,Transport-moving,Unmarried,Black,Female,0,0,30,United-States,<=50K,0,4,11,4,14,4,2,0,39,0
115,young,Private,175374,Some-college,10,Married-civ-spouse,Other-service,Husband,White,Male,0,0,24,United-States,<=50K,4,4,15,2,8,0,4,1,39,0
116,old,Private,181232,11th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2179,40,United-States,<=50K,2,4,1,2,3,0,4,1,39,0
117,middle-aged,?,174662,Some-college,10,Divorced,?,Not-in-family,White,Female,0,0,40,United-States,<=50K,1,0,15,0,0,1,4,0,39,0
118,middle-aged,Local-gov,186009,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,0,0,38,Mexico,<=50K,1,2,15,0,1,4,4,0,26,0
119,adult,Private,198183,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K,0,4,11,4,1,1,4,0,39,0
120,adult,Private,163003,Bachelors,13,Never-married,Exec-managerial,Other-relative,Asian-Pac-Islander,Female,0,0,40,Philippines,<=50K,0,4,9,4,4,2,1,0,30,0
121,young,Private,296158,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0,0,35,United-States,<=50K,4,4,11,4,3,3,4,1,39,0
122,middle-aged,Private,187715,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,46,United-States,<=50K,1,4,11,2,3,0,4,1,39,0
123,young,Private,214542,Bachelors,13,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,40,United-States,<=50K,4,4,9,4,6,1,4,1,39,0
124,old,Self-emp-not-inc,494223,Some-college,10,Separated,Sales,Unmarried,Black,Male,0,1816,2,United-States,<=50K,2,6,15,5,12,4,2,1,39,0
125,young,Private,191535,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,0,0,60,United-States,<=50K,4,4,11,0,3,1,4,1,39,0
126,middle-aged,Private,228456,Bachelors,13,Separated,Other-service,Other-relative,Black,Male,0,0,50,United-States,<=50K,1,4,9,5,8,2,2,1,39,0
127,old,?,38317,1st-4th,2,Divorced,?,Not-in-family,White,Female,0,0,20,United-States,<=50K,2,0,3,0,0,1,4,0,39,0
128,young,Private,252752,HS-grad,9,Never-married,Other-service,Unmarried,White,Female,0,0,40,United-States,<=50K,4,4,11,4,8,4,4,0,39,0
129,middle-aged,Self-emp-inc,78374,Masters,14,Divorced,Exec-managerial,Unmarried,Asian-Pac-Islander,Female,0,0,40,United-States,<=50K,1,5,12,0,4,4,1,0,39,0
130,young,Private,88419,HS-grad,9,Never-married,Exec-managerial,Not-in-family,Asian-Pac-Islander,Female,0,0,40,England,<=50K,4,4,11,4,4,1,1,0,9,0
131,middle-aged,Self-emp-not-inc,201080,Masters,14,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,>50K,1,6,12,2,12,0,4,1,39,1
132,adult,Private,207157,Some-college,10,Divorced,Other-service,Unmarried,White,Female,0,0,40,Mexico,<=50K,0,4,15,0,8,4,4,0,26,0
133,adult,Federal-gov,235485,Assoc-acdm,12,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,42,United-States,<=50K,0,1,7,4,4,1,4,1,39,0
134,teenager,Private,25828,11th,7,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,16,United-States,<=50K,3,4,1,4,6,3,4,1,39,0
135,old,Local-gov,54826,Assoc-voc,11,Widowed,Prof-specialty,Not-in-family,White,Female,0,0,20,United-States,<=50K,2,2,8,6,10,1,4,0,39,0
136,young,State-gov,175325,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,<=50K,4,7,11,2,11,0,4,1,39,0
137,old,Private,96062,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,1977,40,United-States,>50K,2,4,15,2,12,0,4,1,39,1
138,young,Private,428030,Bachelors,13,Never-married,Craft-repair,Not-in-family,White,Male,0,0,50,United-States,<=50K,4,4,9,4,3,1,4,1,39,0
139,young,State-gov,149624,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K,4,7,9,2,10,0,4,1,39,1
140,young,Private,253814,HS-grad,9,Married-spouse-absent,Sales,Unmarried,White,Female,0,0,25,United-States,<=50K,4,4,11,3,12,4,4,0,39,0
141,young,Private,312956,HS-grad,9,Never-married,Craft-repair,Own-child,Black,Male,0,0,40,United-States,<=50K,4,4,11,4,3,3,2,1,39,0
142,adult,Private,483777,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,Black,Male,0,0,40,United-States,<=50K,0,4,11,4,6,1,2,1,39,0
143,teenager,Private,183930,HS-grad,9,Never-married,Other-service,Own-child,White,Male,0,0,12,United-States,<=50K,3,4,11,4,8,3,4,1,39,0
144,adult,Private,37274,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,65,United-States,<=50K,0,4,9,2,10,0,4,1,39,0
145,middle-aged,Local-gov,181344,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,0,38,United-States,>50K,1,2,15,2,4,0,2,1,39,1
146,middle-aged,Private,114580,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K,1,4,15,0,1,1,4,0,39,0
147,adult,Private,633742,Some-college,10,Never-married,Craft-repair,Not-in-family,Black,Male,0,0,45,United-States,<=50K,0,4,15,4,3,1,2,1,39,0
148,middle-aged,Private,286370,7th-8th,4,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,Mexico,>50K,1,4,5,2,7,0,4,1,26,1
149,adult,Federal-gov,29054,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,42,United-States,>50K,0,1,15,2,1,0,4,1,39,1
150,adult,Private,304030,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,Black,Male,0,0,40,United-States,<=50K,0,4,11,2,1,0,2,1,39,0
151,middle-aged,Self-emp-not-inc,143129,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,<=50K,1,6,9,0,4,1,4,0,39,0
152,adult,Private,99928,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,50,United-States,<=50K,0,4,12,2,10,5,4,0,39,0
153,old,State-gov,109567,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,1,United-States,>50K,2,7,10,2,10,0,4,1,39,1
154,middle-aged,Local-gov,523910,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,40,United-States,<=50K,1,2,9,2,3,0,2,1,39,0
155,middle-aged,Federal-gov,130760,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,24,United-States,<=50K,1,1,9,2,13,0,4,1,39,0
156,young,Private,197387,5th-6th,3,Married-civ-spouse,Transport-moving,Other-relative,White,Male,0,0,40,Mexico,<=50K,4,4,4,2,14,2,4,1,26,0
157,adult,Private,99374,Some-college,10,Divorced,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K,0,4,15,0,3,1,4,1,39,0
158,middle-aged,Federal-gov,56795,Masters,14,Never-married,Exec-managerial,Not-in-family,White,Female,14084,0,55,United-States,>50K,1,1,12,4,4,1,4,0,39,1
159,adult,Private,138992,Masters,14,Married-civ-spouse,Prof-specialty,Other-relative,White,Male,7298,0,40,United-States,>50K,0,4,12,2,10,2,4,1,39,1
160,young,Self-emp-not-inc,32921,HS-grad,9,Never-married,Sales,Not-in-family,White,Male,0,0,40,United-States,<=50K,4,6,11,4,12,1,4,1,39,0
161,young,Private,397317,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,0,1876,40,United-States,<=50K,4,4,12,4,10,1,4,0,39,0
162,teenager,?,170653,HS-grad,9,Never-married,?,Own-child,White,Male,0,0,40,Italy,<=50K,3,0,11,4,0,3,4,1,22,0
163,old,Private,259323,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,>50K,2,4,9,2,4,0,4,1,39,1
164,middle-aged,Local-gov,254817,Some-college,10,Never-married,Prof-specialty,Not-in-family,White,Female,0,1340,40,United-States,<=50K,1,2,15,4,10,1,4,0,39,0
165,adult,State-gov,48211,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,0,0,35,United-States,<=50K,0,7,11,0,1,4,4,0,39,0
166,teenager,Private,140164,11th,7,Never-married,Sales,Own-child,White,Female,0,0,40,United-States,<=50K,3,4,1,4,12,3,4,0,39,0
167,adult,Private,128757,Bachelors,13,Married-civ-spouse,Other-service,Husband,Black,Male,7298,0,36,United-States,>50K,0,4,9,2,8,0,2,1,39,1
168,adult,Private,36270,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,0,0,60,United-States,<=50K,0,4,11,0,3,1,4,1,39,0
169,old,Self-emp-inc,210563,HS-grad,9,Married-civ-spouse,Sales,Wife,White,Female,15024,0,35,United-States,>50K,2,5,11,2,12,5,4,0,39,1
