Week,DayWeek,Day,Month,Hour,Transaction_Type,Units,Amount
28,4,12,7,14,Card,3,-19.0
28,4,12,7,14,Card,7,68.5
28,4,12,7,15,Cash,2,-168.0
28,4,12,7,15,Card,2,-0.9
28,4,12,7,15,Card,6,6.0
28,4,12,7,16,Cash,28,-13.78
28,4,12,7,16,Card,9,39.9
28,4,12,7,17,Card,14,433.75
28,4,12,7,18,Card,6,3.0
28,5,13,7,8,Card,3,-26.0
28,5,13,7,8,Card,1,3.0
28,5,13,7,9,Cash,4,-9.0
28,5,13,7,9,Card,11,-10.1
28,5,13,7,9,Card,13,318.0
28,5,13,7,10,Cash,2,-35.0
28,5,13,7,10,Card,7,10.5
28,5,13,7,11,Cash,2,-155.0
28,5,13,7,11,Card,9,-13.91
28,5,13,7,11,Card,16,120.75
28,5,13,7,12,Card,43,-75.19
28,5,13,7,12,Card,16,200.25
28,5,13,7,13,Cash,5,-30.3
28,5,13,7,13,Card,10,-7.91
28,5,13,7,13,Card,18,153.25
28,5,13,7,14,Cash,4,-26.0
28,5,13,7,14,Card,13,94.32
28,5,13,7,15,Cash,131,-64.57
28,5,13,7,15,Card,9,45.0
28,5,13,7,16,Cash,3,-1.01
28,5,13,7,16,Card,3,-3.8
28,5,13,7,16,Card,10,61.49
28,5,13,7,17,Card,7,-32.9
28,5,13,7,17,Card,7,85.0
28,5,13,7,18,Card,1,20.0
28,6,14,7,8,Card,3,-29.0
28,6,14,7,8,Card,4,165.0
28,6,14,7,9,Card,9,30.49
28,6,14,7,10,Cash,9,-59.0
28,6,14,7,10,Card,7,166.85
28,6,14,7,11,Cash,5,-25.0
28,6,14,7,11,Card,13,107.5
28,6,14,7,12,Cash,2,-30.0
28,6,14,7,12,Card,12,247.0
28,6,14,7,13,Cash,1,-113.0
28,6,14,7,13,Card,18,296.5
28,6,14,7,14,Cash,1,-58.0
28,6,14,7,14,Card,8,-7.9
28,6,14,7,14,Card,14,108.5
28,6,14,7,15,Cash,1,-32.0
28,6,14,7,15,Card,2,-12.0
28,6,14,7,15,Card,14,148.75
28,6,14,7,16,Cash,3,-66.0
28,6,14,7,16,Card,18,-9.23
28,6,14,7,16,Card,22,170.15
28,6,14,7,17,Cash,1,-23.0
28,6,14,7,17,Card,2,46.0
28,7,15,7,8,Card,4,7.75
28,7,15,7,9,Card,3,17.0
28,7,15,7,10,Cash,1,-82.0
28,7,15,7,10,Card,13,-48.0
28,7,15,7,10,Card,12,436.25
28,7,15,7,11,Cash,1,-46.0
28,7,15,7,11,Card,1,-0.6
28,7,15,7,11,Card,18,103.75
28,7,15,7,12,Card,5,-10.6
28,7,15,7,12,Card,31,188.25
28,7,15,7,13,Card,9,-20.4
28,7,15,7,13,Card,32,351.0
28,7,15,7,14,Cash,7,-37.7
28,7,15,7,14,Card,5,-17.2
28,7,15,7,14,Card,29,242.8
28,7,15,7,15,Cash,3,-53.2
28,7,15,7,15,Card,19,83.75
28,7,15,7,16,Cash,1,-98.0
28,7,15,7,16,Card,2,-86.0
28,7,15,7,16,Card,32,341.5
28,7,15,7,17,Cash,1,-11.0
28,7,15,7,17,Card,15,347.1
29,1,16,7,9,Cash,1,-82.0
29,1,16,7,9,Card,3,-3.5
29,1,16,7,9,Card,1,12.0
29,1,16,7,10,Card,99,-258.07
29,1,16,7,10,Card,30,373.25
29,1,16,7,11,Card,1,-23.0
29,1,16,7,11,Card,22,53.25
29,1,16,7,12,Card,3,-35.0
29,1,16,7,12,Card,13,95.5
29,1,16,7,13,Card,2,-51.0
29,1,16,7,13,Card,12,160.0
29,1,16,7,14,Cash,1,-14.0
29,1,16,7,14,Card,14,49.0
29,1,16,7,15,Cash,1,-131.0
29,1,16,7,15,Card,7,73.0
29,1,16,7,16,Cash,4,-15.0
29,1,16,7,16,Card,3,307.5
29,2,17,7,8,Card,4,75.5
29,2,17,7,9,Card,5,-47.0
29,2,17,7,9,Card,2,70.0
29,2,17,7,10,Cash,3,-249.0
29,2,17,7,10,Card,1,-8.0
29,2,17,7,10,Card,10,331.5
29,2,17,7,11,Cash,3,-16.0
29,2,17,7,11,Card,7,-72.0
29,2,17,7,11,Card,11,137.5
29,2,17,7,12,Card,18,44.6
29,2,17,7,13,Cash,1,-22.0
29,2,17,7,13,Card,19,70.0
29,2,17,7,14,Cash,3,-0.41
29,2,17,7,14,Card,23,-17.1
29,2,17,7,14,Card,14,111.75
29,2,17,7,15,Cash,1,-0.9
29,2,17,7,15,Card,13,33.0
29,2,17,7,16,Cash,19,-46.91
29,2,17,7,16,Card,10,-9.32
29,2,17,7,16,Card,15,304.0
29,2,17,7,17,Card,14,109.75
29,3,18,7,8,Card,2,4.5
29,3,18,7,9,Cash,20,-31.94
29,3,18,7,9,Card,6,14.0
29,3,18,7,10,Card,2,154.0
29,3,18,7,11,Cash,1,-35.0
29,3,18,7,11,Card,12,33.0
29,3,18,7,12,Card,17,59.0
29,3,18,7,13,Cash,5,-49.0
29,3,18,7,13,Card,7,62.6
29,3,18,7,14,Cash,3,-169.01
29,3,18,7,14,Card,30,-32.55
29,3,18,7,14,Card,22,555.75
29,3,18,7,15,Cash,8,-1.25
29,3,18,7,15,Card,44,412.0
29,3,18,7,16,Cash,10,-361.0
29,3,18,7,16,Card,26,119.5
29,3,18,7,17,Cash,5,-116.0
29,3,18,7,17,Card,1,-23.0
29,3,18,7,17,Card,6,37.0
29,4,19,7,8,Card,1,28.0
29,4,19,7,9,Card,5,27.1
29,4,19,7,10,Cash,2,-14.0
29,4,19,7,10,Card,5,20.5
29,4,19,7,11,Cash,12,-107.9
29,4,19,7,11,Card,19,667.25
29,4,19,7,12,Cash,12,-310.0
29,4,19,7,12,Card,4,88.5
29,4,19,7,13,Cash,1,-304.0
29,4,19,7,13,Card,14,137.0
29,4,19,7,14,Cash,2,-68.0
29,4,19,7,14,Card,3,75.0
29,4,19,7,15,Cash,1,-7.0
29,4,19,7,15,Card,5,-2.92
29,4,19,7,15,Card,11,74.49
29,4,19,7,16,Cash,38,-35.0
29,4,19,7,16,Card,5,-104.0
29,4,19,7,16,Card,9,221.5
29,4,19,7,17,Cash,2,-35.0
29,4,19,7,17,Card,14,182.25
29,5,20,7,9,Card,10,5.0
29,5,20,7,10,Cash,1,-58.0
29,5,20,7,10,Card,6,-9.7
29,5,20,7,10,Card,10,382.75
29,5,20,7,11,Cash,1,-28.0
29,5,20,7,11,Card,19,49.25
29,5,20,7,12,Cash,15,-23.5
29,5,20,7,12,Card,10,167.5
29,5,20,7,13,Cash,2,-100.0
29,5,20,7,13,Card,1,-0.6
29,5,20,7,13,Card,23,60.0
29,5,20,7,14,Cash,3,-137.0
29,5,20,7,14,Card,25,214.7
29,5,20,7,15,Cash,1,-29.0
29,5,20,7,15,Card,3,-9.4
29,5,20,7,15,Card,30,168.59
29,5,20,7,16,Card,14,137.75
29,5,20,7,17,Cash,19,-126.5
29,5,20,7,17,Card,3,52.0
29,6,21,7,8,Card,8,-97.4
29,6,21,7,8,Card,5,194.0
29,6,21,7,9,Cash,2,-7.7
29,6,21,7,9,Card,1,-0.6
29,6,21,7,9,Card,17,245.5
29,6,21,7,10,Cash,11,-3.47
29,6,21,7,10,Card,17,94.0
29,6,21,7,11,Cash,1,-113.0
29,6,21,7,11,Card,6,33.5
29,6,21,7,12,Cash,4,-178.0
29,6,21,7,12,Card,28,-118.31
29,6,21,7,12,Card,7,74.0
29,6,21,7,13,Cash,4,-358.0
29,6,21,7,13,Card,8,82.0
29,6,21,7,14,Card,11,29.5
29,6,21,7,15,Card,4,144.0
29,6,21,7,16,Cash,1,-6.0
29,6,21,7,16,Card,9,11.75
29,6,21,7,17,Cash,3,-4.9
29,6,21,7,17,Card,2,-12.6
29,6,21,7,17,Card,14,102.5
29,6,21,7,18,Card,7,31.0
29,7,22,7,9,Cash,26,-26.7
29,7,22,7,9,Card,13,-187.0
29,7,22,7,9,Card,13,620.0
29,7,22,7,10,Cash,8,-36.3
29,7,22,7,10,Card,11,45.48
29,7,22,7,11,Card,1,-237.0
29,7,22,7,11,Card,16,481.0
29,7,22,7,12,Cash,8,-85.0
29,7,22,7,12,Card,28,159.5
29,7,22,7,13,Card,28,65.75
29,7,22,7,14,Cash,10,-161.9
29,7,22,7,14,Card,46,-79.9
29,7,22,7,14,Card,8,49.0
29,7,22,7,15,Cash,54,-44.3
29,7,22,7,15,Card,12,90.75
29,7,22,7,16,Card,11,-23.9
29,7,22,7,16,Card,19,281.0
29,7,22,7,17,Cash,8,-59.0
29,7,22,7,17,Card,6,-306.0
29,7,22,7,17,Card,15,859.75
3,1,14,1,9,Card,64,-180.81
3,1,14,1,9,Card,1,12.0
3,1,14,1,10,Cash,8,-8.2
3,1,14,1,10,Card,3,-43.0
3,1,14,1,10,Card,14,259.99
3,1,14,1,11,Cash,28,-49.77
3,1,14,1,11,Card,1,18.0
3,1,14,1,12,Cash,1,-86.0
3,1,14,1,12,Card,2,-7.3
3,1,14,1,12,Card,2,4.5
3,1,14,1,13,Cash,12,-171.61
